Month,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Australia
January,8106,6622,5130,2851,1771,496,551,344,25871
February,7984,6904,5177,2860,1636,466,507,338,25872
March,9092,7482,5829,3140,1827,543,584,338,28835
April,8465,6820,5478,2958,1701,474,518,354,26768
May,8541,7084,5418,2941,1746,513,558,351,27152
June,8443,6648,5407,2912,1656,527,546,305,26444
July,8397,6872,5514,2813,1611,504,530,305,26546
August,8227,6649,5328,2767,1651,501,539,303,25965
September,8104,6701,5227,2916,1636,508,541,281,25914
October,8349,6924,5120,2917,1701,502,509,325,26347
November,7850,6374,4817,2775,1587,539,519,283,24744
December,7751,6709,4938,2826,1658,508,558,299,25247
Total,99309,81789,63383,34676,20181,6081,6460,3826,315705
,,Per cent,,,,,,,,,
January,8.2,8.1,8.1,8.2,8.8,8.2,8.5,9.0,8.2
February,8.0,8.4,8.2,8.2,8.1,7.7,7.8,8.8,8.2
March,9.2,9.1,9.2,9.1,9.1,8.9,9.0,8.8,9.1
April,8.5,8.3,8.6,8.5,8.4,7.8,8.0,9.3,8.5
May,8.6,8.7,8.5,8.5,8.7,8.4,8.6,9.2,8.6
June,8.5,8.1,8.5,8.4,8.2,8.7,8.5,8.0,8.4
July,8.5,8.4,8.7,8.1,8.0,8.3,8.2,8.0,8.4
August,8.3,8.1,8.4,8.0,8.2,8.2,8.3,7.9,8.2
September,8.2,8.2,8.2,8.4,8.1,8.4,8.4,7.3,8.2
October,8.4,8.5,8.1,8.4,8.4,8.3,7.9,8.5,8.3
November,7.9,7.8,7.6,8.0,7.9,8.9,8.0,7.4,7.8
December,7.8,8.2,7.8,8.1,8.2,8.4,8.6,7.8,8.0
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
